trial,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,scale_pos_weight,mean_cv_pr_auc
20,850,6,0.0270606469570818,0.9005028735247128,0.670200833588154,9,4.461152520648937,30.06650280659067,0.6000701681808926
21,700,7,0.07433292622268556,0.841452909966024,0.8758678358841228,8,3.5189705508144487,41.320729503170014,0.6070301692778315
22,700,8,0.07062504181126734,0.9584543248092348,0.7111813045804377,8,3.2610974683127454,40.76765020136585,0.6040626741267482
23,700,5,0.022354245780854706,0.6965258649076272,0.9447746961076322,8,2.4525242666522815,26.39224627443011,0.5986733496238351
24,800,7,0.08588723439305639,0.9728997662402723,0.7351575226108956,8,1.0484282412714083,49.526618418271156,0.6033586869573584
25,1000,7,0.025406799470549978,0.8936760199197659,0.9670167326610809,10,4.377796155626424,56.52628487754382,0.5950855481176548
26,750,6,0.01099514880093543,0.8474754972622199,0.8400040720161426,7,3.696806409565461,35.291994551360375,0.5909759437050622
27,950,8,0.07223179990049536,0.9372979142995125,0.7002048313605355,8,4.476600380426596,59.5707979340016,0.599934583200959
28,800,8,0.18671977686964447,0.9244710988484116,0.8508347367181643,8,3.1799302941659393,50.34238628099672,0.5941607775961641
29,950,8,0.11668458766950733,0.9328205282523971,0.7312341424920791,6,2.6714915058295805,56.55799091643642,0.6000950391420312
30,900,6,0.07730118481500754,0.8277627392130908,0.6753281067909802,9,4.600091958509508,59.920782029932745,0.5974287962854538
31,900,8,0.044262930828761114,0.9847825580752492,0.682250130651443,7,3.5869572841059627,43.62216102671512,0.601849859288775
32,950,8,0.055578025391620337,0.9133101040576271,0.64577895947454,6,2.356158625454809,52.54555950062692,0.6116536878056541
33,600,8,0.047435789067918246,0.9036125600711253,0.6702553085708454,7,4.6794182212968325,38.20929337692952,0.6081578984542151
34,1000,8,0.06872119535632425,0.824660681692089,0.7292519555709781,1,0.26805605321682324,53.916316364868706,0.6167025400933661
35,750,7,0.058671631987413375,0.9689836900593658,0.7012449054858931,6,2.823884420858618,38.02623983458588,0.6007366823348202
36,750,7,0.11724220288367526,0.9576627260061419,0.7964880674850959,7,4.97751628740221,43.070848288481585,0.5911701609179526
37,1000,7,0.061927997426867394,0.8197514603639195,0.6428303170819271,3,1.3052981252440947,45.94064430863635,0.6103513334395715
38,900,7,0.04619686607797179,0.6122225897377256,0.6485129922830956,5,1.2451584383611602,58.31641572330989,0.6023576016350094
39,750,8,0.054892588610103286,0.9095494707670914,0.7963652545156208,10,2.4906122701422584,43.9396111580128,0.6138780681477585
40,650,7,0.04603852449163439,0.9310673860230667,0.7378173949782908,8,4.97320753620338,33.959668696222074,0.600403878732671
41,750,8,0.045545151388071047,0.9977425207462387,0.631116757987314,8,3.423959499356494,36.77395249858354,0.6035082487909675
42,600,8,0.07976971093110545,0.9144609368944617,0.701338351215377,9,3.943694610716911,36.85833510300512,0.6057930410092374
43,650,8,0.04352379034206543,0.8719639889250308,0.6256398329645557,9,3.1688564193527005,38.592745353578955,0.6113679806828167
44,800,8,0.03262889281918517,0.8748743988696838,0.6118131313962579,6,2.220268231626288,46.153842689672146,0.6066623339927107
45,650,7,0.03758228614414881,0.9334523362489944,0.7010071997883874,5,4.836481625889257,36.408878077227556,0.5948265199882858
46,900,8,0.062477951502020505,0.8686744626016517,0.6291379101903846,6,2.2785839479314083,48.72226702806268,0.6119158190897334
47,850,7,0.10770728229591416,0.9023575444524379,0.6699217499221772,3,1.435351881289719,47.4599527447603,0.6038098763284342
48,900,7,0.04855686091914174,0.969028376064754,0.670356457605174,1,1.9045515176385837,48.223692445718,0.5895215503715522
49,950,8,0.05968994591593062,0.8730840999580057,0.6296368231709112,3,2.8179049834947607,44.88891190238867,0.6057686849380126
