feature,perm_importance_mean,perm_importance_std
V144,0.00010489601777179392,1.85819784197471e-05
V168,9.858104765301246e-05,7.349246537099636e-05
V8,9.68840665921511e-05,3.5563722376219157e-05
V146,8.775888628550498e-05,1.0667377239150914e-05
V303,8.559491203798952e-05,2.50901901899958e-05
V101,7.307943358945135e-05,2.4438557661566727e-05
V24,7.286809218900458e-05,7.731628300992508e-05
V257,7.140737672667319e-05,3.324384357713967e-05
addr2,7.00707079556273e-05,4.211644782443977e-05
V203,6.750209698346277e-05,6.392722260796853e-05
V23,6.750034467247756e-05,3.783284227224978e-05
V248,6.257782462457673e-05,2.1623155483220425e-05
V86,6.0385401902651735e-05,0.00013430119375216319
V51,5.8230839210204885e-05,9.168547841067418e-05
V220,5.667918408602812e-05,0.0
V323,5.5031070586819554e-05,1.6309045244507186e-05
V283,5.169250154539729e-05,0.0004115497252915959
V151,4.80803622875281e-05,2.8408602411668302e-05
V331,4.7927094877675544e-05,1.0169256952952148e-05
V251,4.706436729595698e-05,1.5386665952870124e-05
V255,4.5743990667523884e-05,3.4992402340464025e-05
V57,3.918549493101553e-05,0.00011647353750042138
V79,3.380193547718458e-05,4.7615361160432775e-05
V235,2.867642084265487e-05,1.3410535316914418e-05
V234,2.7823788124325954e-05,2.150717667879601e-06
V177,2.4900159170315737e-05,1.1973742980393138e-05
V173,2.349117245739052e-05,2.331954951482522e-05
V229,2.2666783993252614e-05,2.70724423347826e-05
V52,2.1976199666673414e-05,5.556087045017202e-05
V30,2.112752449949795e-05,0.0007933417504142759
V142,2.0620151626593587e-05,3.135516213680903e-05
V186,2.0512510086767576e-05,3.1578372528813964e-05
V295,1.700592259199496e-05,1.886138883244696e-05
V330,1.3678676028228143e-05,5.838307251156709e-05
V141,1.1783079491711757e-05,1.1377145330720212e-05
V309,1.1038409617669665e-05,6.37392078610379e-05
V279,7.1877465022684994e-06,3.548204494221018e-06
V80,6.044835514029678e-06,2.094959791242097e-05
V134,6.000211016532475e-06,2.8208781623290022e-05
V237,4.117992251295721e-06,7.975723456627168e-06
V137,3.596182489851163e-06,6.066880947411166e-05
velocity_30min,3.131428275893189e-06,1.3215638579633252e-07
V291,2.4244618897384386e-06,5.025549296942649e-05
V75,1.9179851703299277e-06,4.059888189362925e-05
V16,1.9107466363466054e-06,9.243966995827112e-06
V175,6.994013353911476e-07,2.0246077041406267e-05
V338,1.5159627516636576e-07,3.5370165828998467e-07
V298,4.7337927910895417e-08,2.081799011884577e-07
V31,0.0,0.0
v_block5_missing,0.0,0.0
V32,0.0,0.0
v_block6_missing,0.0,0.0
v_block7_missing,0.0,0.0
v_block4_missing,0.0,0.0
card1_te_txn_count,0.0,0.0
v_block1_missing,0.0,0.0
v_block2_missing,0.0,0.0
v_block3_missing,0.0,0.0
velocity_5min,0.0,0.0
V327,0.0,0.0
V329,0.0,0.0
V339,0.0,0.0
V27,0.0,0.0
V28,0.0,0.0
V125,0.0,0.0
V100,0.0,0.0
V103,0.0,0.0
V106,0.0,0.0
V107,0.0,0.0
M7,0.0,0.0
V1,0.0,0.0
V3,0.0,0.0
V111,0.0,0.0
V154,0.0,0.0
V122,0.0,0.0
V157,0.0,0.0
V120,0.0,0.0
V176,0.0,0.0
V93,0.0,0.0
