feature,gain_importance,gain_rank,perm_importance_mean,perm_importance_std,perm_rank,rank_gap
V226,0.0,312,0.0,0.0,240,72
V236,0.0,312,0.0,0.0,240,72
V9,0.0,312,0.0,0.0,240,72
V196,0.0,312,0.0,0.0,240,72
V32,0.0,312,0.0,0.0,240,72
V31,0.0,312,0.0,0.0,240,72
V195,0.0,312,0.0,0.0,240,72
V27,0.0,312,0.0,0.0,240,72
V193,0.0,312,0.0,0.0,240,72
V198,0.0,312,0.0,0.0,240,72
V34,0.0,312,0.0,0.0,240,72
V247,0.0,312,0.0,0.0,240,72
V213,0.0,312,0.0,0.0,240,72
V216,0.0,312,0.0,0.0,240,72
V241,0.0,312,0.0,0.0,240,72
V239,0.0,312,0.0,0.0,240,72
V337,0.0,312,0.0,0.0,240,72
V339,0.0,312,0.0,0.0,240,72
v_block8_missing,0.0,312,0.0,0.0,240,72
v_block7_missing,0.0,312,0.0,0.0,240,72
V293,0.0,312,0.0,0.0,240,72
V100,0.0,312,0.0,0.0,240,72
V98,0.0,312,0.0,0.0,240,72
V89,0.0,312,0.0,0.0,240,72
V93,0.0,312,0.0,0.0,240,72
V1,0.0,312,0.0,0.0,240,72
V88,0.0,312,0.0,0.0,240,72
V336,0.0,312,0.0,0.0,240,72
C12,0.0013232747,119,0.0033666824389335438,0.0002576588118832223,48,71
V271,0.0009255629,191,0.0006744807583076273,0.00011278473557528221,120,71
V177,0.0003853391,287,2.4900159170315737e-05,1.1973742980393138e-05,217,70
V47,0.0018449378,78,0.0003887353654928649,0.00023241427669157746,148,70
V124,0.001586604,101,0.00019263165536195225,9.419946331422837e-05,171,70
V212,0.00021815998,300,-3.766574008691181e-05,1.872797674524584e-05,370,70
V298,6.524525e-05,309,4.7337927910895417e-08,2.081799011884577e-07,239,70
V69,0.0007138158,239,0.00020092041838812858,9.768820561443857e-05,170,69
D6,0.0011341559,152,0.0012401417339299337,0.00014547317170891344,83,69
card3,0.0010962376,158,0.001150254644842985,0.0003897637409704706,89,69
V48,0.0008837121,202,0.0005460746426349638,0.0001790739384657485,133,69
V318,0.00039225505,284,-3.561113836214602e-06,1.1281885756899411e-05,352,68
V250,0.001883881,76,0.0004207917604032052,4.8131380305884004e-05,143,67
V160,0.0007859543,218,0.00035811458901354733,3.465218434723884e-05,151,67
V316,0.0010315388,169,0.0008353007846302552,0.00017894948266771097,103,66
C5,0.001133818,153,0.001180892533034872,0.0002309242597486586,87,66
V142,0.0011059179,156,2.0620151626593587e-05,3.135516213680903e-05,222,66
p_emaildomain_te_fraud_rate,0.0012704576,123,0.0025927720777815244,0.0004219668180116633,57,66
V180,0.002258821,62,0.0006097842153365507,6.677527051432083e-05,128,66
V217,0.0025694137,51,0.0007010379066616501,0.00011153460583579663,117,66
V280,0.0029833254,44,0.0007475554245011451,0.00010825497477488961,109,65
V291,0.00022742829,299,2.4244618897384386e-06,5.025549296942649e-05,234,65
V260,0.00073010667,234,0.00020388640436802552,3.955487493211321e-05,169,65
V222,0.0012594999,126,0.0001065231346316975,8.730788041576847e-05,191,65
card6,0.0011858979,140,0.0015963661552578557,0.00022442655952843786,75,65
D8,0.0017399513,87,0.007514807629689158,0.0006432027721978983,23,64
V156,0.034473203,6,0.0018177920730853224,0.0005206377710115714,70,64
V294,0.0009949644,178,0.0007064170369045164,4.662327209081211e-05,115,63
