feature,gain_importance
V19,0.0011823175
V234,0.0011807374
V131,0.0011763712
V55,0.0011588497
V289,0.0011582942
V135,0.001150444
D1,0.0011437855
V25,0.0011414154
V137,0.0011407121
V300,0.0011321668
V36,0.0011150532
V15,0.0011048403
V220,0.0010957499
V202,0.001094242
V321,0.0010754063
V90,0.0010680718
V95,0.0010651835
V44,0.0010603679
V180,0.0010584428
V79,0.0010542586
V148,0.0010509279
p_emaildomain_te_txn_count,0.0010489782
V78,0.0010485565
D15,0.001046984
r_emaildomain_freq,0.0010455175
p_emaildomain_te_fraud_rate,0.0010444776
V213,0.0010441974
V272,0.0010187691
V314,0.0010073688
V58,0.0010019463
V53,0.0009979313
M2,0.0009958402
V186,0.0009947434
C3,0.0009821779
V32,0.0009803466
V166,0.0009781962
card1_hist_txn_count,0.00096451567
V8,0.000959741
V12,0.00095090835
V81,0.00095042965
device_hist_txn_count,0.0009439974
V35,0.0009439412
V162,0.00093447167
V56,0.0009291247
V73,0.00092775613
V92,0.00092194177
V306,0.00091010245
V170,0.0009012211
V255,0.000894009
V112,0.0008882478
card1_hist_std_amt,0.0008864423
V210,0.0008809682
V277,0.00086796575
addr1,0.0008639658
D6,0.00086349994
V129,0.0008578949
V40,0.0008527632
V2,0.00084964756
D14,0.000846166
V178,0.00084528903
V6,0.0008452231
C8,0.0008448529
velocity_1h,0.0008422908
V265,0.0008413011
V20,0.0008384134
velocity_24h,0.0008313152
V257,0.0008286465
D10,0.00082749804
V316,0.0008246779
M3,0.0008245332
V169,0.00082250877
V260,0.0008144635
V69,0.0008143608
V203,0.0008111644
D4,0.0007983723
V207,0.0007958783
V63,0.0007889163
V267,0.0007841849
addr1_te_txn_count,0.0007807443
V176,0.0007762113
V76,0.0007692724
V188,0.0007526305
V173,0.00074714306
V151,0.0007328198
V96,0.000720932
V85,0.00071989215
V223,0.0007177678
V211,0.0007156172
V64,0.0007140357
amount_zscore_vs_card1_history,0.0007056762
V46,0.00070255634
V308,0.0007006784
V43,0.0006978404
V250,0.0006971376
V150,0.0006956967
V132,0.00069378637
V52,0.00068980607
V275,0.0006897649
card1_hist_avg_amt,0.00068784575
V273,0.0006823795
V315,0.00068062457
V282,0.0006797702
M8,0.00067449384
V286,0.00066641497
V244,0.00066570204
V185,0.0006588669
V224,0.00065650395
V259,0.0006528797
V214,0.0006505023
V3,0.00064830686
V242,0.00064703
V140,0.0006443584
V323,0.0006442134
V139,0.000639398
V239,0.0006305602
D5,0.00063038414
V134,0.00062159414
V109,0.00062005135
V303,0.0006049443
D11,0.00060381606
V126,0.000591599
seconds_since_card1_prev_txn,0.0005865614
V245,0.00057474105
card1,0.00057085825
V60,0.00056836836
V279,0.0005633448
V143,0.000556804
V329,0.00055585225
V243,0.0005556742
V159,0.0005492399
V254,0.00054810534
V124,0.0005418588
V212,0.00054012495
V4,0.0005385076
V157,0.00053380476
V270,0.0005300548
V339,0.000521979
V115,0.0004993638
V5,0.00049854413
V184,0.0004978402
M9,0.00049325195
V142,0.000491493
V80,0.00048906694
V235,0.0004875575
V24,0.0004872509
V278,0.0004861931
V297,0.0004819535
V127,0.00047986308
V221,0.00047060876
V201,0.0004669669
V160,0.0004632786
V7,0.000460117
V261,0.00045859575
V291,0.0004507645
V318,0.0004362149
V141,0.00043213915
V48,0.00042352983
V309,0.00042042552
V263,0.00041936288
V155,0.00041908742
V215,0.0004172372
D9,0.00041138608
V298,0.00040545908
V145,0.0004042747
M7,0.00040349472
V253,0.00040232434
V97,0.00040210647
V161,0.0003889484
V111,0.00038711875
p_emaildomain_freq,0.0003859361
